adm1_gaulcode,adm1_name,adm2_gaulcode,adm2_name,mkt_id,mkt_name
1927,Gao,19374,Gao,2017,Haoussa Foulane
1927,Gao,19375,Menaka,2018,Menaka
1927,Gao,19373,Bourem,2019,Ouani
1927,Gao,19372,Ansongo,2020,Ouattagouna
1927,Gao,19373,Bourem,2021,Taboye
1927,Gao,19373,Bourem,2022,Temera
1929,Kidal,19385,Tessalit,2023,Tessalit
1931,Mopti,19400,Tenenkou,2024,Diafarabe
1931,Mopti,19400,Tenenkou,2025,Diondiori
1931,Mopti,19397,Douentza,2026,Douentza
1931,Mopti,19401,Youwarou,2027,Gathie Loumo
1931,Mopti,19397,Douentza,2028,Hombori
1931,Mopti,19397,Douentza,2029,Kikara
1931,Mopti,19400,Tenenkou,2031,Tenenkou
1931,Mopti,19400,Tenenkou,2032,Toguere Coumbe
1934,Tombouctou,19418,Gourma-Rharous,2033,Bancoma
1934,Tombouctou,19420,Tombouctou,2034,Bourem Inaly
1934,Tombouctou,19417,Goundam,2035,Douekire
1934,Tombouctou,19419,Niafunke,2036,Gounambougou
1934,Tombouctou,19417,Goundam,2037,Goundam
1934,Tombouctou,19418,Gourma-Rharous,2038,Gourma Rharous
1934,Tombouctou,19419,Niafunke,2039,Niafunke
1934,Tombouctou,19416,Dire,2040,Sareyamou
2006,Brakna,19501,Boghe,689,Boghe
2006,Brakna,19503,Maghta Lahjar,690,Magta-lahjar
2014,Tagant,19523,Moudjeria,692,Moudjeria
2013,Nouakchott,19522,Nouakchott,693,Nouakchott
2008,Gorgol,19505,Kaedi,694,Toufounde-Cive
2010,Hodh Ech Chargi,19511,Amourj,695,Adel Bagrou
2004,Adrar,19490,Aoujeft,696,Aoujeft
2005,Assaba,19497,Kankossa,1357,Kankossa
2011,Hodh El Gharbi,19520,Tintane,1396,Tentane
2006,Brakna,19499,Aleg,1612,Aleg
2004,Adrar,19491,Atar,1613,Atar
2005,Assaba,19494,Barkeol,1614,Barkeol
2009,Guidimakha,19510,Selibaby,1615,Djougountourou
2008,Gorgol,19505,Kaedi,1618,Lexeiba1
2008,Gorgol,19507,Maghama,1619,Maghama
2006,Brakna,19502,M'Bagne,1620,Mbagne
2008,Gorgol,19506,M'Bout,1621,Mbout
2016,Trarza,19530,Keur Macene,1623,Ndiago
2010,Hodh Ech Chargi,19514,Nema,1624,Nema
2007,Dakhlet-Nouadhibou,19504,Nouadhibou,1625,Nouadhibou
2004,Adrar,19493,#Ouadane,1626,Ouadane
2009,Guidimakha,19509,Ould Yenge,1627,Ould Yenge
2009,Guidimakha,19510,Selibaby,1629,Selibaby
2014,Tagant,19525,Tidjikja,1632,Tidjikja
2011,Hodh El Gharbi,19520,Tintane,1635,Twil
2010,Hodh Ech Chargi,19512,Bassikounou,1636,Vassala
2009,Guidimakha,19510,Selibaby,1637,Wompou
2015,Tiris-Zemmour,19528,Zoueratt,1638,Zoueiratt
2208,Tillaberi,22578,Filingue,543,Abala
2207,Tahoua,22577,Tchin Tabaradene,544,Abalak
